"content","annotation__label__001","annotation__label__002","annotation__label__003","annotation__label__004","annotation__label__005","annotation__notes","annotation__points__x","annotation__points__y","annotation__imageWidth","annotation__imageHeight","extras","metadata__first_done_at","metadata__last_updated_at","metadata__sec_taken","metadata__last_updated_by"
"http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb06477f4cb0164895548a600a3/66127d05-93eb-498f-bac3-85a19bcbbbc7___2538464.main_image.jpg.jpeg","Emotion_Happy","Age_below20","E_White","G_Male","","","0.19876868953386104","0.23148148148148148","1300","741","null","1531657992000","1531657992000","23","HWbICv9u4uSnWrU830DjuF7FfMK2"
"","","","","","","","0.3245382585751979","0.45987654320987653","","","","","","",""
"","Emotion_Happy","Age_20_30","E_White","G_ Female","","","0.6024626209322779","0.16049382716049382","1300","741","","","","",""
"","","","","","","","0.7361477572559367","0.36882716049382713","","","","","","",""
"http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb06477f4cb0164895548a600a3/e3f39fd4-8888-4eea-a49d-038f70a8c540___instagram-famous-clothing-stores.jpg.jpeg","Emotion_Happy","Age_20_30","E_Hispanic","G_ Female","","","0.1662269129287599","0.17150395778364116","500","500","null","1531720527000","1531720527000","32","HWbICv9u4uSnWrU830DjuF7FfMK2"
"","","","","","","","0.3245382585751979","0.3254177660510114","","","","","","",""
"","Emotion_Happy","Age_20_30","E_White","G_ Female","","","0.5241864555848724","0.11345646437994723","500","500","","","","",""
"","","","","","","","0.6693051890941073","0.2796833773087071","","","","","","",""
"","Emotion_Happy","Age_20_30","E_White","G_ Female","","","0.7475813544415127","0.13720316622691292","500","500","","","","",""
"","","","","","","","0.8979771328056289","0.2796833773087071","","","","","","",""
"http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb06477f4cb0164895548a600a3/70f5af4f-f97e-42b7-a63d-690167fdf1e9___screen-shot-2014-03-05-at-12-33-12-pm.png","Emotion_Neutral","Age_20_30","E_Asian","G_ Female","","","0.7062445030782761","0.4367816091954023","584","268","null","1531657879000","1531657879000","53","HWbICv9u4uSnWrU830DjuF7FfMK2"
"","","","","","","","0.7343887423043096","0.5057471264367817","","","","","","",""
